GEM Mine ID,MSHA ID,Country / Area,Mine Name,Mine Name AKAs,Mine Name (Non-ENG),Complex Name,GEM Wiki Page (ENG),GEM Wiki Page (Non-ENG),Status,Status Detail,Project Type,Project Phase,Owners,GEM Entity ID,Owners (Non-ENG),Parent Company,GEM Entity ID,Company HQs,Capacity (Mtpa),Production (Mtpa),Year of Production,"Coal Output (Annual, Mst)",Mine Type,Mining Method,Mine Size (Km2),Mine Depth (m),Depth Accuracy,Workforce Size,Workforce Accuracy,Coal Type,Coal Grade,Percentage of Met Coal,Percentage of Thermal Coal,Accuracy Rating,Reported Year of Percentage Split,"Total Reserves (Proven and Probable, Mt)",Year of Total Reserves Recorded,"Total Resource (Inferred, Indicated, Measured)",Reserve to Production Ratio (R/P),Opening Year,Closing Year,Reported Life of Mine,Reported Year of Mine Life,Coalfield,Location,"Prefecture, District","State, Province",Subregion,Region,Latitude,Longitude,Location Accuracy,"Primary Consumer, Destination","Coal Plant, Steel Plant, Terminal","Coal Plant, Steel Plant, Terminal GEM Wiki",Gas-level Rating,Gas-level Rating Appraisal Year,Reported Coal Mine Methane Emissions (thousand tonnes per year),Year of Reported Coal Mine Methane Emissions,Source ID,Has associated plume data,Has associated CMM mitigation data,GEM Coal Mine Methane Emissions Estimate (MCM/yr),GEM Coal Mine Methane Emissions Estimate (M tonnes/yr),Methane Gas Content (m^3/tonne) (Updated),Methane Emissions Factor (Updated),CMM Emissions (CO2e 20 years),CMM Emissions (CO2e 100 years),ISO Code
M0581,,India,Mungoli Nirguda Coal Mine,Mugoli Nirguda Extension Deep OC,,,https://www.gem.wiki/Mugoli_Nirguda_Mine,,Operating,,,,Western Coalfields Ltd [100%],E100001000801 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,3,5.23,2023,,Surface,Open Pit,12.67,50,Estimate,839,Exact,Lignite,Thermal,,,,,46,2017,59,9,1994,,14,2017,Wardha Valley,Wani,Yavatmal,Maharashtra,Southern Asia,Asia,19.89405,79.11556,Exact,,,,,,,,,,,6.3,0.00,0.8,1.5,0.3,0.1,356
M0583,,India,N.T.S.T. Jeenagora Coal Mine,Amalgamated NTST Jeenagora Colliery,,,https://www.gem.wiki/North_Tisra_South_Tisra_(NTST)_coal_mines,,Operating,,,,Bharat Coking Coal Ltd [100%],E100001000805 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,*,4.79,2023,,Surface,Open Pit,-,50,Estimate,802,Estimate,Subbituminous,Thermal,,,,,118,,133,25,,,-,,Dhanbad,,,Jharkhand,Southern Asia,Asia,23.7028,86.4403,Approximate,,,,,,,,,,,5.7,0.00,0.8,1.5,0.3,0.1,356
M0585,,India,New Majri Coal Mine,New Majri Underground to Opencast Coal Mine,,,https://www.gem.wiki/New_Majri_UG_to_OC_Mine,,Operating,,,,Western Coalfields Ltd [100%],E100001000801 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,2,1.52,2023,,Surface,Open Pit,4.79,50,Estimate,402,Estimate,Subbituminous,Thermal,,,,,12,2017,38,8,2011,,-,,Wardha Valley,Bhadravati,Chandrapur,Maharashtra,Southern Asia,Asia,20.13479,79.02137,Exact,,,,,,,,,,,1.8,0.00,0.8,1.5,0.1,0,356
M0587,,India,Neyveli I A Coal Mine,Mine I A,,,https://www.gem.wiki/Neyveli_I_coal_mine,,Operating,,,,NLC India Ltd [100%],E100001000440 [100%],,NLC India Ltd [100.0%],E100001000440 [100.0%],India,4.9,5.59,2023,,Surface,Open Pit,-,50,Estimate,1170,Estimate,Lignite,Thermal,,,,,150,,365,27,,,-,,Cuddalore,,,Tamil Nadu,Southern Asia,Asia,11.57352,79.51781,Exact,,,,,,,,,,,6.7,0.00,0.8,1.5,0.4,0.1,356
M0588,,India,Neyveli I Coal Mine,Mine I,,,https://www.gem.wiki/Neyveli_I_coal_mine,,Operating,,,,NLC India Ltd [100%],E100001000440 [100%],,NLC India Ltd [100.0%],E100001000440 [100.0%],India,5,7,2023,,Surface,Open Pit,24.69,90,Exact,1301,Estimate,Lignite,Thermal,,,,,150,,365,21,1961,,-,,Neyveli (East and South areas),Neyveli,Cuddalore,Tamil Nadu,Southern Asia,Asia,11.57118,79.50374,Exact,Coal Plant,Neyveli Thermal Power Station,https://www.gem.wiki/Neyveli_Thermal_Power_Station,,,,,,,,13.7,0.01,1.3,1.5,0.8,0.3,356
M0589,,India,Neyveli II Coal Mine,Mine II,,,https://www.gem.wiki/Neyveli_II_coal_mine,,Operating,,,,NLC India Ltd [100%],E100001000440 [100%],,NLC India Ltd [100.0%],E100001000440 [100.0%],India,7,8.97,2023,,Surface,,27,90,Exact,1856,Estimate,Lignite,Thermal,,,,,398,,613,44,1984,,-,,Neyveli (East and South areas),Neyveli,Cuddalore,Tamil Nadu,Southern Asia,Asia,11.52027,79.47554,Exact,Coal Plant,Neyveli Thermal Power Station,https://www.gem.wiki/Neyveli_Thermal_Power_Station,,,,,,,,17.5,0.01,1.3,1.5,1,0.3,356
M0590,,India,Neyveli III Coal Mine,Mine III,,,https://www.gem.wiki/Neyveli_III_coal_mine,,Proposed,Permitted,New,,NLC India Ltd [100%],E100001000440 [100%],,NLC India Ltd [100.0%],E100001000440 [100.0%],India,6,*,,,Surface,Open Pit,39,90,Exact,,,Lignite,Thermal,,,,,387,,441,,2027,,35,,Neyveli (East and South areas),Neyveli,Cuddalore,Tamil Nadu,Southern Asia,Asia,11.51628,79.4294,Approximate,Coal Plant,Neyveli Thermal Power Station,https://www.gem.wiki/Neyveli_Thermal_Power_Station,,,,,,,,11.7,0.01,1.3,1.5,0.6,0.2,356
M0591,,India,Nigahi Coal Mine,Nigahi Expansion OCP,,,https://www.gem.wiki/Nigahi_Coal_Mine,,Proposed,Permitted,Expansion,,Northern Coalfields Ltd [100%],E100001000802 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,2,*,,,Surface,Open Pit,5.64,50,Estimate,,,Subbituminous,Thermal,,,,,-,,-,-,TBD,,-,,Singrauli,Nigahi,Singrauli,Madhya Pradesh,Southern Asia,Asia,24.135,82.59944,Exact,,,,,,,,,,,2.4,0.00,0.8,1.5,0.1,0,356
M0591,,India,Nigahi Coal Mine,,,,https://www.gem.wiki/Nigahi_Coal_Mine,,Operating,,,,Northern Coalfields Ltd [100%],E100001000802 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,9,25,2024,,Surface,Open Pit,30.18,250,Exact,2238,Exact,Subbituminous,Thermal,,,,,163,,-,7,1985,,22,,Singrauli,Nigahi,Singrauli,Madhya Pradesh,Southern Asia,Asia,24.135,82.59944,Exact,Coal Plant,Vindhyachal power station,https://www.gem.wiki/Vindhyachal_power_station,,,,,,,,108.8,0.07,2.9,1.5,6,2.2,356
M0593,,India,Niljai Coal Mine,Niljai Expansion (Deep) OC,,,https://www.gem.wiki/Niljai_Coal_Mine,,Proposed,Pre-Permit,Expansion,Stage 2,Western Coalfields Ltd [100%],E100001000801 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,0.4,*,,,Surface,Open Pit,-,50,Estimate,587,Estimate,Subbituminous,Thermal,,,,,-,,-,-,,,-,,Yavatmal,Wani Tehsil,Yavatmal,Maharashtra,Southern Asia,Asia,19.9957,79.0825,Approximate,,,,,,,,,,,0.5,0.00,0.8,1.5,0,0,356
M0593,,India,Niljai Coal Mine,,,,https://www.gem.wiki/Niljai_Coal_Mine,,Operating,,,,Western Coalfields Ltd [100%],E100001000801 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,3,4.47,2023,,Surface,Open Pit,17.61,50,Estimate,408,Estimate,Subbituminous,Thermal,,,,,41,,50,9,1991,,-,,Yavatmal,Wani Tehsil,Yavatmal,Maharashtra,Southern Asia,Asia,19.9957,79.0825,Exact,,,,,,,,,,,5.4,0.00,0.8,1.5,0.3,0.1,356
M0594,,India,"North Tisra, South Tisra Coal Mine","NTSTJG, Cluster 9",,,https://www.gem.wiki/North_Tisra_South_Tisra_(NTST)_coal_mines,,Operating,,Expansion,,Bharat Coking Coal Ltd [100%],E100001000805 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,5.1,1.87,Oct '23 to Mar '24,,Surface,Open Pit,8,244,Exact,1708,Exact,Lignite,Thermal,,,,,121,2022,133,65,2020,,-,,Jharia,,,Jharkhand,Southern Asia,Asia,23.72909,86.4432,Approximate,,,,,,,,,,,8.1,0.01,2.9,1.5,0.4,0.2,356
M0595,,India,North Urimari Birsa Coal Mine,Barka Sayal Area,,,https://www.gem.wiki/North_Urimari_Birsa_coal_mine,,Operating,,,,Central Coalfields Ltd [100%],E100001000803 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,2.8,4.2,2023,,Surface,Open Pit,2.5,140,Exact,828,Estimate,Subbituminous,Thermal,,,,,81,,-,19,1997,,-,,Hazaribagh,,Ramgarh,Jharkhand,Southern Asia,Asia,23.70195,85.29392,Exact,,,,,,,,,,,12,0.01,1.9,1.5,0.7,0.2,356
M0595,,India,North Urimari Birsa Coal Mine,Barka Sayal Area,,,https://www.gem.wiki/North_Urimari_Birsa_coal_mine,,Proposed,Permitted,Expansion,,Central Coalfields Ltd [100%],E100001000803 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,3,*,,,Surface,Open Pit,2.5,140,Exact,847,Estimate,Lignite,Thermal,,,,,81,,-,54,TBD,,-,,South Karanpura,,Ramgarh,Jharkhand,Southern Asia,Asia,23.70195,85.29392,Exact,,,,,,,,,,,8.6,0.01,1.9,1.5,0.5,0.2,356
M0598,,India,Pachhwara (North) Coal Mine,Pachwara,,,https://www.gem.wiki/Pachhwara_(North)_coal_mine,,Operating,,,,West Bengal Power Development Corp Ltd [100%],E100001000512 [100%],,The West Bengal Power Development Corporation Ltd [100.0%],E100001000512 [100.0%],India,7.6,13.7,2023,,Surface,,12.18,50,Estimate,1396,Estimate,Lignite,Thermal,,,,,389,,,28,2019,,29,2023,Rajmahal,Panchwara,Pakur,Jharkhand,Southern Asia,Asia,24.47474,87.47644,Approximate,Coal Plant,Sagardighi Thermal Power Station,https://www.gem.wiki/Sagardighi_Thermal_Power_Station,,,,,,,,16.4,0.01,0.8,1.5,0.9,0.3,356
M0599,,India,Pachhwara (South) Coal Mine,Pachwara,,,https://www.gem.wiki/Pachwara_(South)_coal_mine,,Proposed,Construction,New,,Neyveli Uttar Pradesh Power Ltd [100%],E100000120925 [100%],,NLC India Ltd [51.0%]; Uttar Pradesh Rajya Vidyut Utpadan Nigam Ltd [49.0%],E100001000440 [51.0%]; E100001000485 [49.0%],India,5.5,*,,,Surface,,7.15,50,Estimate,1288,Exact,Subbituminous,Thermal,,,,,263,2024,374,,2025,,38,,Rajmahal,Gopikandar,Dumka,Jharkhand,Southern Asia,Asia,24.50022,87.48335,Approximate,Coal Plant,Ghatampur power station,https://www.gem.wiki/Ghatampur_power_station,,,,,,,,6.6,0.00,0.8,1.5,0.4,0.1,356
M0600,,India,Padmapur Coal Mine,,,,https://www.gem.wiki/Padmapur_coal_mine,,Mothballed,,,,Western Coalfields Ltd [100%],E100001000801 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,1.9,0.45,2021,,Surface,Open Pit,7.33,50,Estimate,,,Subbituminous,Thermal,,,,,11,,26,24,1996,,-,,Wardha Valley,Padmapur,Chandrapur,Maharashtra,Southern Asia,Asia,20.0304,79.31423,Exact,,,,,,,,,,,0.5,0.00,0.8,1.5,0,0,356
M0601,,India,Pakri Barwadih Coal Mine,,,,https://www.gem.wiki/Pakri_Barwadih_Mine,,Operating,,,,NTPC Ltd [100%],E100000001926 [100%],,NTPC Ltd [100.0%],E100000001926 [100.0%],India,8,16.3,2023,,Surface,,46.26,50,Estimate,1689,Estimate,Lignite,Thermal,,,,,642,,-,39,2019,,-,,,Hazaribagh,,Jharkhand,Southern Asia,Asia,23.88192,85.2338,Exact,,,,,,,,,,,19.6,0.01,0.8,1.5,1.1,0.4,356
M0603,,India,Parbatpur Coal Mine,,,,https://www.gem.wiki/Parbatpur_coal_mine,,Shelved,Permitted,New,,Coal India Limited; Oil and Natural Gas Corporation Limited; Steel Authority of India (SAIL),E100000000524; E100001000396; E100001000703,,Oil and Natural Gas Corporation Ltd; Coal India Ltd; Steel Authority of India Ltd,E100000000524; E100001000396; E100001000703,India,1.5,*,,,Underground & Surface,Mixed,8.65,430,Exact,,,Subbituminous,Thermal,,,,,228,,236,,TBD,,55,,Jharia,Talgoria,Bokaro,Jharkhand,Southern Asia,Asia,20.71528,86.375,Exact,,,,,,,,,,,10.1,0.01,4.2,1.6,0.6,0.2,356
M0604,,India,Parsa East And Kanta Basan Coal Mine,,,,https://www.gem.wiki/Parsa_East_and_Kanta_Basan_coal_mine,,Operating,,,,Rajasthan Rajya Vidyut Utpadan Nigam Ltd [100%],E100000000526 [100%],,Rajasthan Rajya Vidyut Utpadan Nigam Ltd [100.0%],E100000000526 [100.0%],India,7.5,6.7,2023,,Surface,,23.88,30,Exact,2197,Estimate,Lignite,Thermal,,,,,452,2021,516,67,,,19,2021,Korba,"Kete, Parsa",Korba,Chhattisgarh,Southern Asia,Asia,22.83795,82.81401,Exact,Coal Plant,Chhabra Thermal Power Station,https://www.gem.wiki/Chhabra_Thermal_Power_Station,,,,,,,,5,0.00,0.5,1.5,0.3,0.1,356
M0606,,India,Penganga Coal Mine,,,,https://www.gem.wiki/Pengagna_coal_mine,,Operating,,,,Western Coalfields Ltd [100%],E100001000801 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,4.5,4.79,2023,,Surface,Open Pit,7.8,50,Estimate,593,Estimate,Subbituminous,Thermal,,,,,12,2022,-,3,2015,,7,,Wardha Valley,Wirur,Chandrapur,Maharashtra,Southern Asia,Asia,19.86222,79.13917,Exact,,,,,,,,,,,5.7,0.00,0.8,1.5,0.3,0.1,356
M0607,,India,Muraidi Phularitand Coal Mine,"Cluster 2, AMP Colliery",,,https://www.gem.wiki/Phularitand_mine,,Operating,,,,Bharat Coking Coal Ltd [100%],E100001000805 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,*,2,2023,,Surface,Open Pit,-,50,Estimate,664,Estimate,Subbituminous,Thermal,,,,,53,,-,27,,,-,,Jharia,,Dhanbad,Jharkhand,Southern Asia,Asia,23.78174,86.22724,Exact,,,,,,,,,,,2.4,0.00,0.8,1.5,0.1,0,356
M0611,,India,Purnadih Coal Mine,,,,https://www.gem.wiki/Purnadih_coal_mine,,Operating,,,,Central Coalfields Ltd [100%],E100001000803 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,2.14,0.6,2023,,Surface,Open Pit,4.3,50,Estimate,378,Estimate,Subbituminous,Thermal,,,,,58,2019,-,97,2009,,25,,Chatra,,,Jharkhand,Southern Asia,Asia,23.7083,84.9861,Exact,,,,,,,,,,,0.7,0.00,0.8,1.5,0,0,356
M0612,,India,Rabodh Coal Mine,,,,https://www.gem.wiki/Rabodh_coal_mine,,Proposed,Exploration,New,,Rashtriya Ispat Nigam Ltd [100%],E100000001935 [100%],,Rashtriya Ispat Nigam Ltd [100.0%],E100000001935 [100.0%],India,2,*,,,Surface,Open Pit,6.04,50,Estimate,,,Subbituminous,Thermal,,,,,46,,-,,TBD,,-,,West Bokaro,Rabodh,Hazaribagh,Jharkhand,Southern Asia,Asia,23.72773,85.40925,Approximate,Other Industrial,,,,,,,,,,2.4,0.00,0.8,1.5,0.1,0,356
M0613,,India,Radhikapur (East) Coal Mine,Coal Block Auction 11,,,https://www.gem.wiki/Radhikapur_(East)_coal_mine,,Proposed,Pre-Permit,New,,EMIL Mines and Mineral Resources Ltd [100%],E100001000660 [100%],,Aditya Birla Management Corporation Pvt Ltd,E100000120031,India,4,*,,,Surface,Open Pit,10.16,50,Estimate,,,Subbituminous,Thermal,,,,,176,,-,,TBD,,-,,Talcher,Jhintipal Junglee,Angul,Odisha,Southern Asia,Asia,20.96658,84.90004,Exact,,,,,,,,,,,4.8,0.00,0.8,1.5,0.3,0.1,356
M0614,,India,Radhikapur (West) Coal Mine,Coal Block Auction 11,,,https://www.gem.wiki/Radhikapur_(West)_coal_mine,,Proposed,Pre-Permit,New,,Vedanta Ltd [100%],E100001000479 [100%],,Vedanta Ltd [100.0%],E100001000479 [100.0%],India,4.5,*,,,Surface,Open Pit,10.48,275,Exact,,,Subbituminous,Thermal,,,,,312,2022,-,,TBD,,-,,Talcher,Nuapada,Angul,Odisha,Southern Asia,Asia,20.98321,84.88348,Exact,,,,,,,,,,,21.2,0.01,3.1,1.5,1.2,0.4,356
M0617,,India,Rajmahal Coal Mine,,,,https://www.gem.wiki/Rajmahal_coal_mines,,Operating,,,,Eastern Coalfields Ltd [100%],E100001000804 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,9,12.06,2023,,Surface,Open Pit,19.78,200,Exact,2963,Exact,Subbituminous,Thermal,,,,,186,2023,,15,1988,,9,2023,,,Godda,Jharkhand,Southern Asia,Asia,25.038,87.3538,Exact,,,,,,,,,,,45.2,0.03,2.5,1.5,2.5,0.9,356
M0618,,India,Ramagundam I Coal Mine,,,,https://www.gem.wiki/Ramagundam_I_coal_mine,,Operating,,,,The Singareni Collieries Co Ltd [100%],E100001000809 [100%],,The Singareni Collieries Co Ltd [100.0%],E100001000809 [100.0%],India,4,3.69,2023,,Surface,Open Pit,9.23,50,Estimate,489,Estimate,Subbituminous,Thermal,,,,,1,2022,68,0,1974,,-,,Peddapalli,,,Telangana,Southern Asia,Asia,18.66636,79.53927,Exact,,,,,,,,,,,4.4,0.00,0.8,1.5,0.2,0.1,356
M0619,,India,Ramagundam II Coal Mine,,,,https://www.gem.wiki/Ramagundam_II_coal_mine,,Operating,,,,The Singareni Collieries Co Ltd [100%],E100001000809 [100%],,The Singareni Collieries Co Ltd [100.0%],E100001000809 [100.0%],India,3,2.22,2023,,Surface,Open Pit,22.56,250,Exact,1113,Estimate,Subbituminous,Thermal,,,,,78,2023,116,35,2010,,-,,Peddapalli,,,Telangana,Southern Asia,Asia,18.6782,79.5406,Approximate,,,,,,,,,,,9.7,0.01,2.9,1.5,0.5,0.2,356
M0620,,India,Ramagundam III Coal Mine,RG-2 Area,,,https://www.gem.wiki/Ramagundam_III_coal_mine,,Operating,,,,The Singareni Collieries Co Ltd [100%],E100001000809 [100%],,The Singareni Collieries Co Ltd [100.0%],E100001000809 [100.0%],India,5.7,8.16,2023,,Surface,Open Pit,20.7,170,Exact,2228,Exact,Subbituminous,Thermal,,,,,60,2024,224,7,1990,,-,,Peddapalli,,,Telangana,Southern Asia,Asia,18.6976,79.5352,Exact,,,,,,,,,,,26.9,0.02,2.2,1.5,1.5,0.5,356
M0621,,India,Ravindrakhani Coal Mine,,,,https://www.gem.wiki/Ravindra_Khani_New_Tech_coal_mine,,Mothballed,,,,The Singareni Collieries Co Ltd [100%],E100001000809 [100%],,The Singareni Collieries Co Ltd [100.0%],E100001000809 [100.0%],India,*,2,,,Surface,Open Pit,-,50,Estimate,,,Subbituminous,Thermal,,,,,11,,29,6,,,-,,Mancherial,,,Telangana,Southern Asia,Asia,18.92722,79.48949,Exact,,,,,,,,,,,2.4,0.00,0.8,1.5,0.1,0,356
M0622,,India,Religara Coal Mine,Argada area,,,https://www.gem.wiki/Argada_coal_mines,,Operating,,,,Central Coalfields Ltd [100%],E100001000803 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,0.589,0.5,2022,,Surface,Open Pit,-,50,Estimate,311,Estimate,Subbituminous,Thermal,,,,,4,,-,8,1993,,-,,Hazaribagh,,,Jharkhand,Southern Asia,Asia,23.8617,85.5569,Exact,,,,,,,,,,,0.6,0.00,0.8,1.5,0,0,356
M0623,,India,Rohini Coal Mine,North Karanpura Area,,,https://www.gem.wiki/North_Karanpura_coal_mines,,Operating,,,,Central Coalfields Ltd [100%],E100001000803 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,2.6,0.03,2023,,Surface,Open Pit,-,65,Exact,336,Estimate,Subbituminous,Thermal,,,,,12,,-,400,,,-,,North Karanpura,,Ranchi,Jharkhand,Southern Asia,Asia,23.68507,84.98907,Exact,,,,,,,,,,,0,0.00,1,1.5,0,0,356
M0623,,India,Rohini Coal Mine,North Karanpura Area,,,https://www.gem.wiki/North_Karanpura_coal_mines,,Shelved,Permitted,Expansion,,Central Coalfields Ltd [100%],E100001000803 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,2.1,*,,,Surface,Open Pit,-,65,Exact,524,Estimate,Subbituminous,Thermal,,,,,8,,-,,2018,,-,,North Karanpura,,Ranchi,Jharkhand,Southern Asia,Asia,23.68507,84.98907,Exact,,,,,,,,,,,3.1,0.00,1,1.5,0.2,0.1,356
M0624,,India,Rohini Karkatta Coal Mine,North Karanpura Area,,,https://www.gem.wiki/North_Karanpura_coal_mines,,Operating,,New,,Central Coalfields Ltd [100%],E100001000803 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,5.8,0.31,2022,,Surface,,-,50,Estimate,373,Estimate,Lignite,Thermal,,,,,-,,-,-,2024,,-,,North Karanpura,,,Jharkhand,Southern Asia,Asia,23.68507,84.98907,Approximate,,,,,,,,,,,0.4,0.00,0.8,1.5,0,0,356
M0625,,India,Rohne Coal Mine,,,,https://www.gem.wiki/Rohne_coal_mine,,Proposed,Pre-Permit,New,,Rohne Coal Co Ltd [100%],E100000132139 [100%],,Jai Balaji Industries Ltd [6.9%]; JSW Steel Ltd [69.1%]; JSW Shipping & Logistics Pvt Ltd [4.0%]; Everbest Consultancy Services Pvt Ltd [20.0%],E100000130703 [6.9%]; E100001000516 [69.1%]; E100001016144 [4.0%]; E100001016543 [20.0%],India,5,*,,,Surface,,-,60,Estimate,,,Bituminous,Thermal,,,,,192,,242,,,,28,,North Karanpura,,Hazaribagh,Jharkhand,Southern Asia,Asia,23.7842,85.3099,Exact,Steel Plant,NMDC Nagarnar steel plant,https://www.gem.wiki/NMDC_Nagarnar_steel_plant,,,,,,,,26.3,0.02,3.5,1.5,1.5,0.5,356
M0626,,India,Samleswari Coal Mine,Samaleswari,,,https://www.gem.wiki/Ib_Valley_coal_mines,,Operating,,,,Mahanadi Coalfields Ltd [100%],E100001000807 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,7.5,7.73,2023,,Surface,Open Pit,13.35,50,Estimate,977,Estimate,Lignite,Thermal,,,,,110,2022,180,14,1989,,10,,Ib Valley,,Sundergarh,Odisha,Southern Asia,Asia,21.80579,83.90385,Exact,,,,,,,,,,,9.3,0.01,0.8,1.5,0.5,0.2,356
M0627,,India,Sanghamitra Coal Mine,Magadh Amrapali Area,,,https://www.gem.wiki/Magadh_Amrapali_coal_mines,,Proposed,Permitted,New,,Central Coalfields Ltd [100%],E100001000803 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,9,*,,,Surface,Open Pit,21.14,50,Estimate,,,Lignite,Thermal,,,,,125,,-,3,TBD,,-,,North Karanpura,,Chatra,Jharkhand,Southern Asia,Asia,23.88948,85.00171,Approximate,,,,,,,,,,,10.8,0.01,0.8,1.5,0.6,0.2,356
M0628,,India,Sarisatolli Coal Mine,Sarshatalli,,,https://www.gem.wiki/Sarisatolli_coal_mine,,Operating,,,,RPSG Group [100%],E100001000736 [100%],,CESC Ltd [100.0%],E100001000736 [100.0%],India,2.7,1.29,2023,,Surface,Open Pit,6.7,50,Estimate,557,Estimate,Subbituminous,Thermal,,,,,63,,172,49,,,-,,Raniganj,Churulia,Burdwan,West Bengal,Southern Asia,Asia,23.79968,87.04547,Exact,Coal Plant,Balagarh power station,https://www.gem.wiki/Balagarh_power_station,,,,,,,,1.5,0.00,0.8,1.5,0.1,0,356
M0629,,India,Sasti OC Coal Mine,Sasti Expansion OCP,,,https://www.gem.wiki/Sasti_Expansion_OC_Mine,,Proposed,Permitted,Expansion,,Western Coalfields Ltd [100%],E100001000801 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,*,*,,,Surface,Open Pit,11.2,50,Estimate,,,Subbituminous,Thermal,,,,,-,,-,-,TBD,,-,,,,,Maharashtra,Southern Asia,Asia,19.78472,79.30833,Exact,,,,,,,,,,,-,-,0.8,1.5,-,-,356
M0629,,India,Sasti OC Coal Mine,,,,https://www.gem.wiki/Sasti_Expansion_OC_Mine,,Operating,,,,Western Coalfields Ltd [100%],E100001000801 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,1.9,1.89,2023,,Surface,Open Pit,9.19,50,Estimate,462,Estimate,Subbituminous,Thermal,,,,,25,,117,13,1985,,-,,Wardha Valley,Rajura,Chandrapur,Maharashtra,Southern Asia,Asia,19.81311,79.31833,Exact,,,,,,,,,,,2.3,0.00,0.8,1.5,0.1,0,356
M0630,,India,Selected Dhori Group of Mines,Sel Dhori OC,,,https://www.gem.wiki/Bokaro_and_Kargali_coal_mines,,Operating,,,,Central Coalfields Ltd [100%],E100001000803 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,1.8,1.87,2023,,Surface,Open Pit,3.15,50,Estimate,564,Estimate,Subbituminous,Thermal,,,,,4,,-,2,,,-,,Bokaro,,,Jharkhand,Southern Asia,Asia,23.775,85.5417,Exact,,,,,,,,,,,2.2,0.00,0.8,1.5,0.1,0,356
M0631,,India,Sendra Bansjora Coal Mine,Cluster 5,,,https://www.gem.wiki/Sendra_Bansjora_coal_mine,,Operating,,,,Bharat Coking Coal Ltd [100%],E100001000805 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,1.8,0.6008,2023,,Surface,Open Pit,2.58,60,Estimate,373,Estimate,Bituminous,-,,,,,87,,-,145,,,14,2020,Jharia,,Dhanbad,Jharkhand,Southern Asia,Asia,23.79336,86.35049,Exact,,,,,,,,,,,3.2,0.00,3.5,1.5,0.2,0.1,356
M0632,,India,Siarmal Coal Mine,Siarmal Exten,,,https://www.gem.wiki/Siarmal_coal_mine,,Operating,,New,,Mahanadi Coalfields Ltd [100%],E100001000807 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,10,5.83,2023,,Surface,Open Pit,22.9,50,Estimate,2995,Exact,Lignite,Thermal,,,,,1548,2018,1895,266,2023,,38,,Ib Valley,,Sundergarh,Odisha,Southern Asia,Asia,22.04347,83.73362,Exact,,,,,,,,,,,7,0.01,0.8,1.5,0.4,0.1,356
M0633,,India,Singhori Coal Mine,,,,https://www.gem.wiki/Singhori_OC_Mine,,Operating,,,,Western Coalfields Ltd [100%],E100001000801 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,0.9,1.2,2023,,Surface,Open Pit,4.25,50,Estimate,345,Estimate,Subbituminous,Thermal,,,,,12,2023,35,10,2017,2028,11,,,Parseoni,Nagpur,Maharashtra,Southern Asia,Asia,21.27667,79.1275,Exact,,,,,,,,,,,1.4,0.00,0.8,1.5,0.1,0,356
M0634,,India,Sonepur Bazari Coal Mine,"Cluster 12, Sonepur Bazari Project",,,https://www.gem.wiki/Sonepur_Bazari_mine,,Operating,,,,Eastern Coalfields Ltd [100%],E100001000804 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,7.2,12.37,2023,,Surface,,24.05,245,Exact,1497,Exact,Lignite,Thermal,,,,,362,2022,-,29,1990,,-,,Raniganj,Pandabeswar,Paschim Bardhaman,West Bengal,Southern Asia,Asia,23.68823,87.22376,Exact,,,,,,,,,,,53.8,0.04,2.9,1.5,3,1.1,356
